workerId,ID,pairID,count,event,eventCat,construction,sentence
A36XEP5H6KBQIB,28,4,2.0,speaking,DC,TRA,
A36XEP5H6KBQIB,73,81,2.0,filler,filler,filler,
A36XEP5H6KBQIB,59,67,3.0,filler,filler,filler,
A36XEP5H6KBQIB,2,1,1.0,kissing,PC,TRA,
A36XEP5H6KBQIB,9,4,2.0,embracing,PC,INT,
A36XEP5H6KBQIB,72,80,4.0,filler,filler,filler,
A36XEP5H6KBQIB,6,3,2.0,hugging,PC,TRA,
A36XEP5H6KBQIB,76,84,2.0,filler,filler,filler,
A36XEP5H6KBQIB,56,64,2.0,filler,filler,filler,
A36XEP5H6KBQIB,66,74,1.0,filler,filler,filler,
A36XEP5H6KBQIB,35,1,4.0,advising,DM,INT,
A36XEP5H6KBQIB,70,78,2.0,filler,filler,filler,
A36XEP5H6KBQIB,60,68,1.0,filler,filler,filler,
A36XEP5H6KBQIB,25,3,2.0,talking,DC,INT,
A36XEP5H6KBQIB,42,4,1.0,encouraging,DM,TRA,
A36XEP5H6KBQIB,21,7,3.0,thanking,DM,INT,
A36XEP5H6KBQIB,13,6,10.0,poking,PC,INT,
A36XEP5H6KBQIB,65,73,3.0,filler,filler,filler,
A36XEP5H6KBQIB,47,5,2.0,recognizing,DM,INT,
A36XEP5H6KBQIB,67,75,2.0,filler,filler,filler,
A36XEP5H6KBQIB,69,77,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,50,6,2.0,supporting,DM,TRA,
A1GZOEMTN2KYDA,58,66,5.0,filler,filler,filler,
A1GZOEMTN2KYDA,24,2,1.0,lecturing,DC,TRA,
A1GZOEMTN2KYDA,68,76,20.0,filler,filler,filler,
A1GZOEMTN2KYDA,12,5,1.0,cuddling,PC,TRA,
A1GZOEMTN2KYDA,74,82,2.0,filler,filler,filler,
A1GZOEMTN2KYDA,62,70,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,77,85,20.0,filler,filler,filler,
A1GZOEMTN2KYDA,63,71,2.0,filler,filler,filler,
A1GZOEMTN2KYDA,39,3,2.0,assuring,DM,INT,
A1GZOEMTN2KYDA,19,1,2.0,scolding,DC,INT,
A1GZOEMTN2KYDA,53,61,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,29,5,3.0,presenting,DC,INT,
A1GZOEMTN2KYDA,79,87,4.0,filler,filler,filler,
A1GZOEMTN2KYDA,55,63,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,71,79,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,64,72,25.0,filler,filler,filler,
A1GZOEMTN2KYDA,75,83,40.0,filler,filler,filler,
A1GZOEMTN2KYDA,78,86,0,filler,filler,filler,
A1GZOEMTN2KYDA,32,6,2.0,addressing,DC,TRA,
A1GZOEMTN2KYDA,38,2,2.0,assisting,DM,TRA,
A1GZOEMTN2KYDA,61,69,3.0,filler,filler,filler,
A1GZOEMTN2KYDA,16,7,2.0,shaking,PC,TRA,
A1GZOEMTN2KYDA,54,62,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,57,65,15.0,filler,filler,filler,
A1GZOEMTN2KYDA,3,2,2.0,kicking,PC,INT,
A1GZOEMTN2KYDA,28,4,2.0,speaking,DC,TRA,
A1GZOEMTN2KYDA,73,81,5.0,filler,filler,filler,
A1GZOEMTN2KYDA,59,67,40.0,filler,filler,filler,
A1GZOEMTN2KYDA,2,1,2.0,kissing,PC,TRA,
A1GZOEMTN2KYDA,9,4,2.0,embracing,PC,INT,
A1GZOEMTN2KYDA,72,80,4.0,filler,filler,filler,
A1GZOEMTN2KYDA,6,3,2.0,hugging,PC,TRA,
A1GZOEMTN2KYDA,76,84,3.0,filler,filler,filler,
A1GZOEMTN2KYDA,56,64,1200.0,filler,filler,filler,
A1GZOEMTN2KYDA,66,74,3.0,filler,filler,filler,
A1GZOEMTN2KYDA,35,1,2.0,advising,DM,INT,
A1GZOEMTN2KYDA,70,78,3.0,filler,filler,filler,
A1GZOEMTN2KYDA,60,68,2.0,filler,filler,filler,
A1GZOEMTN2KYDA,25,3,2.0,talking,DC,INT,
A1GZOEMTN2KYDA,42,4,2.0,encouraging,DM,TRA,
A1GZOEMTN2KYDA,21,7,2.0,thanking,DM,INT,
A1GZOEMTN2KYDA,13,6,2.0,poking,PC,INT,
A1GZOEMTN2KYDA,65,73,1.0,filler,filler,filler,
A1GZOEMTN2KYDA,47,5,2.0,recognizing,DM,INT,
A1GZOEMTN2KYDA,67,75,16.0,filler,filler,filler,
A1GZOEMTN2KYDA,69,77,6.0,filler,filler,filler,
A2ZW029G7AOF3B,50,6,1.0,supporting,DM,TRA,
A2ZW029G7AOF3B,58,66,1.0,filler,filler,filler,
A2ZW029G7AOF3B,24,2,1.0,lecturing,DC,TRA,
A2ZW029G7AOF3B,68,76,3.0,filler,filler,filler,
A2ZW029G7AOF3B,12,5,1.0,cuddling,PC,TRA,
A2ZW029G7AOF3B,74,82,4.0,filler,filler,filler,
A2ZW029G7AOF3B,62,70,2.0,filler,filler,filler,
A2ZW029G7AOF3B,77,85,3.0,filler,filler,filler,
A2ZW029G7AOF3B,63,71,4.0,filler,filler,filler,
A2ZW029G7AOF3B,39,3,2.0,assuring,DM,INT,
A2ZW029G7AOF3B,19,1,2.0,scolding,DC,INT,
A2ZW029G7AOF3B,53,61,3.0,filler,filler,filler,
A2ZW029G7AOF3B,29,5,4.0,presenting,DC,INT,
A2ZW029G7AOF3B,79,87,2.0,filler,filler,filler,
A2ZW029G7AOF3B,55,63,2.0,filler,filler,filler,
A2ZW029G7AOF3B,71,79,2.0,filler,filler,filler,
A2ZW029G7AOF3B,64,72,2.0,filler,filler,filler,
A2ZW029G7AOF3B,75,83,3.0,filler,filler,filler,
A2ZW029G7AOF3B,78,86,1.0,filler,filler,filler,
A2ZW029G7AOF3B,32,6,3.0,addressing,DC,TRA,
A2ZW029G7AOF3B,38,2,3.0,assisting,DM,TRA,
A2ZW029G7AOF3B,61,69,5.0,filler,filler,filler,
A2ZW029G7AOF3B,16,7,3.0,shaking,PC,TRA,
A2ZW029G7AOF3B,54,62,2.0,filler,filler,filler,
A2ZW029G7AOF3B,57,65,3.0,filler,filler,filler,
A2ZW029G7AOF3B,3,2,3.0,kicking,PC,INT,
A2ZW029G7AOF3B,28,4,2.0,speaking,DC,TRA,
A2ZW029G7AOF3B,73,81,3.0,filler,filler,filler,
A2ZW029G7AOF3B,59,67,4.0,filler,filler,filler,
A2ZW029G7AOF3B,2,1,3.0,kissing,PC,TRA,
A2ZW029G7AOF3B,9,4,2.0,embracing,PC,INT,
A2ZW029G7AOF3B,72,80,5.0,filler,filler,filler,
A2ZW029G7AOF3B,6,3,2.0,hugging,PC,TRA,
A2ZW029G7AOF3B,76,84,2.0,filler,filler,filler,
A2ZW029G7AOF3B,56,64,1.0,filler,filler,filler,
A2ZW029G7AOF3B,66,74,3.0,filler,filler,filler,
A2ZW029G7AOF3B,35,1,2.0,advising,DM,INT,
A2ZW029G7AOF3B,70,78,3.0,filler,filler,filler,
A2ZW029G7AOF3B,60,68,5.0,filler,filler,filler,
A2ZW029G7AOF3B,25,3,3.0,talking,DC,INT,
A2ZW029G7AOF3B,42,4,2.0,encouraging,DM,TRA,
A2ZW029G7AOF3B,21,7,2.0,thanking,DM,INT,
A2ZW029G7AOF3B,13,6,3.0,poking,PC,INT,
A2ZW029G7AOF3B,65,73,3.0,filler,filler,filler,
A2ZW029G7AOF3B,47,5,4.0,recognizing,DM,INT,
A2ZW029G7AOF3B,67,75,6.0,filler,filler,filler,
A2ZW029G7AOF3B,69,77,2.0,filler,filler,filler,
AV3P6MAFNWXTI,50,6,1.0,supporting,DM,TRA,
AV3P6MAFNWXTI,58,66,1.0,filler,filler,filler,
AV3P6MAFNWXTI,24,2,3.0,lecturing,DC,TRA,
AV3P6MAFNWXTI,68,76,10.0,filler,filler,filler,
AV3P6MAFNWXTI,12,5,1.0,cuddling,PC,TRA,
AV3P6MAFNWXTI,74,82,1.0,filler,filler,filler,
AV3P6MAFNWXTI,62,70,1.0,filler,filler,filler,
AV3P6MAFNWXTI,77,85,1.0,filler,filler,filler,
AV3P6MAFNWXTI,63,71,1.0,filler,filler,filler,
AV3P6MAFNWXTI,39,3,1.0,assuring,DM,INT,
AV3P6MAFNWXTI,19,1,2.0,scolding,DC,INT,
AV3P6MAFNWXTI,53,61,1.0,filler,filler,filler,
AV3P6MAFNWXTI,29,5,2.0,presenting,DC,INT,
AV3P6MAFNWXTI,79,87,1.0,filler,filler,filler,
AV3P6MAFNWXTI,55,63,1.0,filler,filler,filler,
AV3P6MAFNWXTI,71,79,1.0,filler,filler,filler,
AV3P6MAFNWXTI,64,72,12.0,filler,filler,filler,
AV3P6MAFNWXTI,75,83,1.0,filler,filler,filler,
AV3P6MAFNWXTI,78,86,1.0,filler,filler,filler,
AV3P6MAFNWXTI,32,6,1.0,addressing,DC,TRA,
AV3P6MAFNWXTI,38,2,1.0,assisting,DM,TRA,
AV3P6MAFNWXTI,61,69,2.0,filler,filler,filler,
AV3P6MAFNWXTI,16,7,1.0,shaking,PC,TRA,
AV3P6MAFNWXTI,54,62,1.0,filler,filler,filler,
AV3P6MAFNWXTI,57,65,1.0,filler,filler,filler,
AV3P6MAFNWXTI,3,2,2.0,kicking,PC,INT,
AV3P6MAFNWXTI,28,4,1.0,speaking,DC,TRA,
AV3P6MAFNWXTI,73,81,1.0,filler,filler,filler,
AV3P6MAFNWXTI,59,67,10000.0,filler,filler,filler,
AV3P6MAFNWXTI,2,1,1.0,kissing,PC,TRA,
AV3P6MAFNWXTI,9,4,1.0,embracing,PC,INT,
AV3P6MAFNWXTI,72,80,1.0,filler,filler,filler,
AV3P6MAFNWXTI,6,3,1.0,hugging,PC,TRA,
AV3P6MAFNWXTI,76,84,1.0,filler,filler,filler,
AV3P6MAFNWXTI,56,64,1.0,filler,filler,filler,
AV3P6MAFNWXTI,66,74,3.0,filler,filler,filler,
AV3P6MAFNWXTI,35,1,1.0,advising,DM,INT,
AV3P6MAFNWXTI,70,78,1.0,filler,filler,filler,
AV3P6MAFNWXTI,60,68,1.0,filler,filler,filler,
AV3P6MAFNWXTI,25,3,1.0,talking,DC,INT,
AV3P6MAFNWXTI,42,4,1.0,encouraging,DM,TRA,
AV3P6MAFNWXTI,21,7,1.0,thanking,DM,INT,
AV3P6MAFNWXTI,13,6,1.0,poking,PC,INT,
AV3P6MAFNWXTI,65,73,10.0,filler,filler,filler,
AV3P6MAFNWXTI,47,5,1.0,recognizing,DM,INT,
AV3P6MAFNWXTI,67,75,1.0,filler,filler,filler,
AV3P6MAFNWXTI,69,77,5.0,filler,filler,filler,
A13VIJ7G997ZCY,50,6,1.0,supporting,DM,TRA,
A13VIJ7G997ZCY,58,66,1.0,filler,filler,filler,
A13VIJ7G997ZCY,24,2,1.0,lecturing,DC,TRA,
A13VIJ7G997ZCY,68,76,2.0,filler,filler,filler,
A13VIJ7G997ZCY,12,5,1.0,cuddling,PC,TRA,
A13VIJ7G997ZCY,74,82,3.0,filler,filler,filler,
A13VIJ7G997ZCY,62,70,1.0,filler,filler,filler,
A13VIJ7G997ZCY,77,85,1.0,filler,filler,filler,
A13VIJ7G997ZCY,63,71,1.0,filler,filler,filler,
A13VIJ7G997ZCY,39,3,2.0,assuring,DM,INT,
A13VIJ7G997ZCY,19,1,4.0,scolding,DC,INT,
A13VIJ7G997ZCY,53,61,1.0,filler,filler,filler,
A13VIJ7G997ZCY,29,5,2.0,presenting,DC,INT,
A13VIJ7G997ZCY,79,87,6.0,filler,filler,filler,
A13VIJ7G997ZCY,55,63,1.0,filler,filler,filler,
A13VIJ7G997ZCY,71,79,3.0,filler,filler,filler,
A13VIJ7G997ZCY,64,72,1.0,filler,filler,filler,
A13VIJ7G997ZCY,75,83,1.0,filler,filler,filler,
A13VIJ7G997ZCY,78,86,3.0,filler,filler,filler,
A13VIJ7G997ZCY,32,6,1.0,addressing,DC,TRA,
A13VIJ7G997ZCY,38,2,8.0,assisting,DM,TRA,
A13VIJ7G997ZCY,61,69,4.0,filler,filler,filler,
A13VIJ7G997ZCY,16,7,1.0,shaking,PC,TRA,
A13VIJ7G997ZCY,54,62,1.0,filler,filler,filler,
A13VIJ7G997ZCY,57,65,5.0,filler,filler,filler,
A13VIJ7G997ZCY,3,2,12.0,kicking,PC,INT,
A13VIJ7G997ZCY,28,4,1.0,speaking,DC,TRA,
A13VIJ7G997ZCY,73,81,25.0,filler,filler,filler,
A13VIJ7G997ZCY,59,67,1.0,filler,filler,filler,
A13VIJ7G997ZCY,2,1,1.0,kissing,PC,TRA,
A13VIJ7G997ZCY,9,4,2.0,embracing,PC,INT,
A13VIJ7G997ZCY,72,80,1.0,filler,filler,filler,
A13VIJ7G997ZCY,6,3,1.0,hugging,PC,TRA,
A13VIJ7G997ZCY,76,84,1.0,filler,filler,filler,
A13VIJ7G997ZCY,56,64,1.0,filler,filler,filler,
A13VIJ7G997ZCY,66,74,1.0,filler,filler,filler,
A13VIJ7G997ZCY,35,1,5.0,advising,DM,INT,
A13VIJ7G997ZCY,70,78,1.0,filler,filler,filler,
A13VIJ7G997ZCY,60,68,1.0,filler,filler,filler,
A13VIJ7G997ZCY,25,3,150.0,talking,DC,INT,
A13VIJ7G997ZCY,42,4,1.0,encouraging,DM,TRA,
A13VIJ7G997ZCY,21,7,2.0,thanking,DM,INT,
A13VIJ7G997ZCY,13,6,12.0,poking,PC,INT,
A13VIJ7G997ZCY,65,73,30.0,filler,filler,filler,
A13VIJ7G997ZCY,47,5,2.0,recognizing,DM,INT,
A13VIJ7G997ZCY,67,75,1.0,filler,filler,filler,
A13VIJ7G997ZCY,69,77,1.0,filler,filler,filler,
A12FCLCVIM2CL3,50,6,1.0,supporting,DM,TRA,
A12FCLCVIM2CL3,58,66,9.0,filler,filler,filler,
A12FCLCVIM2CL3,24,2,1.0,lecturing,DC,TRA,
A12FCLCVIM2CL3,68,76,2.0,filler,filler,filler,
A12FCLCVIM2CL3,12,5,45.0,cuddling,PC,TRA,
A12FCLCVIM2CL3,74,82,1.0,filler,filler,filler,
A12FCLCVIM2CL3,62,70,1.0,filler,filler,filler,
