workerId,pair,rating,event,eventCat,construction
AW34JRQ2PDQAV,63,1.0,filler,filler,filler
AW34JRQ2PDQAV,79,7.0,filler,filler,filler
AW34JRQ2PDQAV,72,6.0,filler,filler,filler
AW34JRQ2PDQAV,83,7.0,filler,filler,filler
AW34JRQ2PDQAV,86,3.0,filler,filler,filler
AW34JRQ2PDQAV,6,1.0,addressing,DC,TRA
AW34JRQ2PDQAV,2,1.0,assisting,DM,TRA
AW34JRQ2PDQAV,69,2.0,filler,filler,filler
AW34JRQ2PDQAV,7,1.0,shaking,PC,TRA
AW34JRQ2PDQAV,62,1.0,filler,filler,filler
AW34JRQ2PDQAV,65,5.0,filler,filler,filler
AW34JRQ2PDQAV,2,2.0,kicking,PC,INT
AW34JRQ2PDQAV,4,5.0,speaking,DC,TRA
AW34JRQ2PDQAV,81,6.0,filler,filler,filler
AW34JRQ2PDQAV,67,4.0,filler,filler,filler
AW34JRQ2PDQAV,1,1.0,kissing,PC,TRA
AW34JRQ2PDQAV,4,1.0,embracing,PC,INT
AW34JRQ2PDQAV,80,7.0,filler,filler,filler
AW34JRQ2PDQAV,3,1.0,hugging,PC,TRA
AW34JRQ2PDQAV,84,6.0,filler,filler,filler
AW34JRQ2PDQAV,64,1.0,filler,filler,filler
AW34JRQ2PDQAV,74,6.0,filler,filler,filler
AW34JRQ2PDQAV,1,1.0,advising,DM,INT
AW34JRQ2PDQAV,78,7.0,filler,filler,filler
AW34JRQ2PDQAV,68,7.0,filler,filler,filler
AW34JRQ2PDQAV,3,1.0,talking,DC,INT
AW34JRQ2PDQAV,4,2.0,encouraging,DM,TRA
AW34JRQ2PDQAV,7,1.0,thanking,DM,INT
AW34JRQ2PDQAV,6,1.0,poking,PC,INT
AW34JRQ2PDQAV,73,1.0,filler,filler,filler
AW34JRQ2PDQAV,5,2.0,recognizing,DM,INT
AW34JRQ2PDQAV,75,1.0,filler,filler,filler
A11S8IAAVDXCUS,6,3.0,supporting,DM,TRA
A11S8IAAVDXCUS,66,7.0,filler,filler,filler
A11S8IAAVDXCUS,2,2.0,lecturing,DC,TRA
A11S8IAAVDXCUS,76,7.0,filler,filler,filler
A11S8IAAVDXCUS,5,1.0,cuddling,PC,TRA
A11S8IAAVDXCUS,82,6.0,filler,filler,filler
A11S8IAAVDXCUS,70,1.0,filler,filler,filler
A11S8IAAVDXCUS,85,7.0,filler,filler,filler
A11S8IAAVDXCUS,71,5.0,filler,filler,filler
A11S8IAAVDXCUS,3,1.0,assuring,DM,INT
A11S8IAAVDXCUS,1,1.0,scolding,DC,INT
A11S8IAAVDXCUS,61,7.0,filler,filler,filler
A11S8IAAVDXCUS,5,1.0,presenting,DC,INT
A11S8IAAVDXCUS,87,2.0,filler,filler,filler
A11S8IAAVDXCUS,63,1.0,filler,filler,filler
A11S8IAAVDXCUS,79,7.0,filler,filler,filler
A11S8IAAVDXCUS,72,4.0,filler,filler,filler
A11S8IAAVDXCUS,83,3.0,filler,filler,filler
A11S8IAAVDXCUS,86,4.0,filler,filler,filler
A11S8IAAVDXCUS,6,1.0,addressing,DC,TRA
A11S8IAAVDXCUS,2,1.0,assisting,DM,TRA
A11S8IAAVDXCUS,69,1.0,filler,filler,filler
A11S8IAAVDXCUS,7,2.0,shaking,PC,TRA
A11S8IAAVDXCUS,62,1.0,filler,filler,filler
A11S8IAAVDXCUS,65,3.0,filler,filler,filler
A11S8IAAVDXCUS,2,1.0,kicking,PC,INT
A11S8IAAVDXCUS,4,2.0,speaking,DC,TRA
A11S8IAAVDXCUS,81,5.0,filler,filler,filler
A11S8IAAVDXCUS,67,7.0,filler,filler,filler
A11S8IAAVDXCUS,1,1.0,kissing,PC,TRA
A11S8IAAVDXCUS,4,1.0,embracing,PC,INT
A11S8IAAVDXCUS,80,7.0,filler,filler,filler
A11S8IAAVDXCUS,3,1.0,hugging,PC,TRA
A11S8IAAVDXCUS,84,4.0,filler,filler,filler
A11S8IAAVDXCUS,64,1.0,filler,filler,filler
A11S8IAAVDXCUS,74,7.0,filler,filler,filler
A11S8IAAVDXCUS,1,1.0,advising,DM,INT
A11S8IAAVDXCUS,78,7.0,filler,filler,filler
A11S8IAAVDXCUS,68,7.0,filler,filler,filler
A11S8IAAVDXCUS,3,1.0,talking,DC,INT
A11S8IAAVDXCUS,4,2.0,encouraging,DM,TRA
A11S8IAAVDXCUS,7,1.0,thanking,DM,INT
A11S8IAAVDXCUS,6,1.0,poking,PC,INT
A11S8IAAVDXCUS,73,1.0,filler,filler,filler
A11S8IAAVDXCUS,5,1.0,recognizing,DM,INT
A11S8IAAVDXCUS,75,1.0,filler,filler,filler
A1EI4NMV2EHSIY,6,1.0,supporting,DM,TRA
A1EI4NMV2EHSIY,66,7.0,filler,filler,filler
A1EI4NMV2EHSIY,2,1.0,lecturing,DC,TRA
A1EI4NMV2EHSIY,76,7.0,filler,filler,filler
A1EI4NMV2EHSIY,5,1.0,cuddling,PC,TRA
A1EI4NMV2EHSIY,82,7.0,filler,filler,filler
A1EI4NMV2EHSIY,70,1.0,filler,filler,filler
A1EI4NMV2EHSIY,85,4.0,filler,filler,filler
A1EI4NMV2EHSIY,71,2.0,filler,filler,filler
A1EI4NMV2EHSIY,3,1.0,assuring,DM,INT
A1EI4NMV2EHSIY,1,1.0,scolding,DC,INT
A1EI4NMV2EHSIY,61,4.0,filler,filler,filler
A1EI4NMV2EHSIY,5,1.0,presenting,DC,INT
A1EI4NMV2EHSIY,87,3.0,filler,filler,filler
A1EI4NMV2EHSIY,63,1.0,filler,filler,filler
A1EI4NMV2EHSIY,79,7.0,filler,filler,filler
A1EI4NMV2EHSIY,72,5.0,filler,filler,filler
A1EI4NMV2EHSIY,83,3.0,filler,filler,filler
A1EI4NMV2EHSIY,86,6.0,filler,filler,filler
A1EI4NMV2EHSIY,6,1.0,addressing,DC,TRA
A1EI4NMV2EHSIY,2,1.0,assisting,DM,TRA
A1EI4NMV2EHSIY,69,1.0,filler,filler,filler
A1EI4NMV2EHSIY,7,1.0,shaking,PC,TRA
A1EI4NMV2EHSIY,62,1.0,filler,filler,filler
A1EI4NMV2EHSIY,65,2.0,filler,filler,filler
A1EI4NMV2EHSIY,2,1.0,kicking,PC,INT
A1EI4NMV2EHSIY,4,1.0,speaking,DC,TRA
A1EI4NMV2EHSIY,81,4.0,filler,filler,filler
A1EI4NMV2EHSIY,67,3.0,filler,filler,filler
A1EI4NMV2EHSIY,1,1.0,kissing,PC,TRA
A1EI4NMV2EHSIY,4,1.0,embracing,PC,INT
A1EI4NMV2EHSIY,80,7.0,filler,filler,filler
A1EI4NMV2EHSIY,3,1.0,hugging,PC,TRA
A1EI4NMV2EHSIY,84,7.0,filler,filler,filler
A1EI4NMV2EHSIY,64,1.0,filler,filler,filler
A1EI4NMV2EHSIY,74,2.0,filler,filler,filler
A1EI4NMV2EHSIY,1,1.0,advising,DM,INT
A1EI4NMV2EHSIY,78,3.0,filler,filler,filler
A1EI4NMV2EHSIY,68,6.0,filler,filler,filler
